code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,note
600103,青山纸业,造纸,0605D3,watch,active,0605D3_negative_adjusted_watch_scan_20260605_092000.csv,3.96,3.70,3.90,3.97,1,100.0,0605D3｜negative_adjusted｜active｜公告负面复核：未发现近期减持；仅较早异常波动公告，保留核心观察｜原分层:active｜原结构:0605D3｜watch｜active｜D1较早封板；D1炸板1次；封板资金较足；D2量比温和1.25；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
600679,上海凤凰,摩托车及,0605D3,watch,active,0605D3_negative_adjusted_watch_scan_20260605_092000.csv,10.83,10.10,10.67,10.86,2,82.0,0605D3｜negative_adjusted｜active｜公告负面复核：未发现近期减持；新闻偏年报扭亏，保留核心观察｜原分层:active｜原结构:0605D3｜watch｜active｜D1未炸板；D2量比略高1.60；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；换手适中
600505,西昌电力,电力,0605D3,watch,active,0605D3_negative_adjusted_watch_scan_20260605_092000.csv,14.20,13.04,13.99,14.24,3,77.0,0605D3｜negative_adjusted｜active｜公告负面复核：未发现近期减持类负面，保留核心观察｜原分层:active｜原结构:0605D3｜watch｜active｜D1未炸板；D2量比略高1.39；D2回落充分；D2收盘离支撑有安全垫；成交额可跟踪；换手适中
002046,国机精工,通用设备,0605D3,watch,radar,0605D3_negative_adjusted_watch_scan_20260605_092000.csv,56.18,52.21,55.34,56.35,4,72.0,0605D3｜negative_adjusted｜radar｜公告负面复核：未发现减持；但成交额偏大/龙虎榜热度，维持radar不追高｜原分层:radar｜原结构:0605D3｜watch｜radar｜D1较早封板；D1炸板2次；封板资金偏弱；D2量比温和1.01；D2回落刚达标；D2收盘离支撑有安全垫；D2收盘近十字；中高价56谨慎；成交额超过15亿降权；换手适中
600078,澄星股份,农化制品,0605D3,watch,radar,0605D3_negative_adjusted_watch_scan_20260605_092000.csv,13.99,12.01,13.78,14.03,5,71.0,0605D3｜negative_adjusted｜radar｜公告负面复核：未发现明显减持负面，维持radar观察｜原分层:radar｜原结构:0605D3｜watch｜radar｜D1未炸板；D2量比2.13在2-3倍，需其他条件补强；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中
600439,瑞贝卡,饰品,0605D3,watch,radar,0605D3_negative_adjusted_watch_scan_20260605_092000.csv,2.88,2.39,2.84,2.89,6,76.0,0605D3｜negative_adjusted｜radar｜公告负面复核：未发现减持；06-05异常波动公告称无应披露未披露重大信息，维持radar｜原分层:radar｜原结构:0605D3｜watch｜radar｜D1未炸板；D2量比略高1.66；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active
603135,中重科技,专用设备,0605D3,watch,radar,0605D3_negative_adjusted_watch_scan_20260605_092000.csv,12.75,10.54,12.56,12.79,7,73.0,0605D3｜negative_adjusted｜radar｜公告负面复核：未发现减持；06-05异常波动公告，维持radar｜原分层:radar｜原结构:0605D3｜watch｜radar｜D1较早封板；D1未炸板；D2量比略高1.60；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；D2高强度延续，不直接奖励进active
001326,联域股份,照明设备,0605D3,watch,exclude,0605D3_negative_adjusted_watch_scan_20260605_092000.csv,67.62,61.80,66.61,67.82,8,80.0,0605D3｜negative_adjusted｜exclude｜公告负面复核：明确减持：2026-06-03 持股5%以上股东减持预披露，副董事长/总经理拟减持接近3%，短线筹码负面｜原分层:active｜原结构:0605D3｜watch｜active｜D1较早封板；D1炸板2次；D2量比略高1.39；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；中高价67谨慎；换手适中
603065,宿迁联盛,化学制品,0605D3,watch,exclude,0605D3_negative_adjusted_watch_scan_20260605_092000.csv,8.68,7.65,8.55,8.71,9,77.0,0605D3｜negative_adjusted｜exclude｜公告负面复核：明确减持：2026-05-08 股东减持股份计划公告，近期窗口内降级剔除｜原分层:active｜原结构:0605D3｜watch｜active｜D1炸板1次；D2量比略高1.62；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中
605580,恒盛能源,电力,0605D3,watch,exclude,0605D3_negative_adjusted_watch_scan_20260605_092000.csv,28.51,25.71,28.08,28.60,10,83.0,0605D3｜negative_adjusted｜exclude｜公告负面复核：明确减持：2026-05-09 实际控制人之一减持股份计划公告，筹码负面｜原分层:active｜原结构:0605D3｜watch｜active｜D1炸板1次；D2量比略高1.47；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
