code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,sector_strength_score,sector_strength_note,note
603861,白云电器,电网设备,0618D3,watch,active,0618D3_watch_scan_20260618_005222.csv,15.89,14.98,15.65,15.94,1,86.0,2.0,电网设备同批候选2只,0618D3｜watch｜active｜D1未炸板；D2量比温和0.85；D2回落充分；D2收盘离支撑有安全垫；成交额可跟踪；换手适中；电网设备同批候选2只
000048,京基智农,养殖业,0618D3,watch,active,0618D3_watch_scan_20260618_005222.csv,19.13,17.37,18.84,19.19,2,85.0,0.0,养殖业同批候选1只,0618D3｜watch｜active｜D1未炸板；D2量比略高1.46；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；成交额可跟踪；换手适中；养殖业同批候选1只
605588,冠石科技,光学光电,0618D3,watch,active,0618D3_watch_scan_20260618_005222.csv,63.05,56.50,62.10,63.24,3,85.0,6.0,光学光电同批候选2只；板块D2均涨5.9%,0618D3｜watch｜active｜D1炸板1次；封板资金偏弱；D2量比温和1.21；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；中高价63谨慎；成交额可跟踪；换手适中；光学光电同批候选2只；板块D2均涨5.9%
001266,宏英智能,自动化设,0618D3,watch,active,0618D3_watch_scan_20260618_005222.csv,50.82,45.60,50.06,50.97,4,84.0,2.0,自动化设同批候选2只,0618D3｜watch｜active｜D1未炸板；D2量比略高1.86；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；中高价50谨慎；成交额可跟踪；换手适中；自动化设同批候选2只
000791,甘肃能源,电力,0618D3,watch,active,0618D3_watch_scan_20260618_005222.csv,9.22,8.83,9.08,9.25,5,82.0,0.0,电力同批候选1只,0618D3｜watch｜active｜D1较早封板；D1未炸板；封板资金较足；D2量比2.28在2-3倍，需其他条件补强；D2回落充分；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；电力同批候选1只
002346,柘中股份,电网设备,0618D3,watch,active,0618D3_watch_scan_20260618_005222.csv,18.33,16.48,18.06,18.38,6,79.0,2.0,电网设备同批候选2只,0618D3｜watch｜active｜D1未炸板；D2量比略高1.49；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；电网设备同批候选2只
603989,艾华集团,元件,0618D3,watch,radar,0618D3_watch_scan_20260618_005222.csv,37.73,31.18,37.16,37.84,7,87.0,8.0,元件同批候选4只，板块聚集；板块D2均涨9.4%；板块内D2强势4只,0618D3｜watch｜radar｜D1炸板1次；D2量比温和0.74；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active；元件同批候选4只，板块聚集；板块D2均涨9.4%；板块内D2强势4只
001283,豪鹏科技,电池,0618D3,watch,radar,0618D3_watch_scan_20260618_005222.csv,52.84,50.00,52.05,53.00,8,86.0,0.0,电池同批候选1只,0618D3｜watch｜radar｜D1未炸板；D2量比温和1.14；D2回落刚达标；D2收盘离支撑有安全垫；D2收盘近十字；中高价52谨慎；成交额可跟踪；换手适中；电池同批候选1只
002700,万憬能源,燃气Ⅱ,0618D3,watch,radar,0618D3_watch_scan_20260618_005222.csv,9.53,8.05,9.39,9.56,9,81.0,4.0,燃气Ⅱ同批候选1只；板块D2均涨7.6%,0618D3｜watch｜radar｜D1较早封板；D1未炸板；封板资金较足；D2量比2.79在2-3倍，需其他条件补强；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active；燃气Ⅱ同批候选1只；板块D2均涨7.6%
603166,福达股份,汽车零部,0618D3,watch,radar,0618D3_watch_scan_20260618_005222.csv,15.81,13.45,15.57,15.86,10,75.0,4.0,汽车零部同批候选1只；板块D2均涨6.8%,0618D3｜watch｜radar｜D1未炸板；D2量比2.16在2-3倍，需其他条件补强；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；汽车零部同批候选1只；板块D2均涨6.8%
000679,大连友谊,一般零售,0618D3,watch,radar,0618D3_watch_scan_20260618_005222.csv,7.35,6.07,7.24,7.37,11,75.0,4.0,一般零售同批候选1只；板块D2均涨10.0%,0618D3｜watch｜radar｜D1未炸板；D2量比略高1.89；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；换手适中；D2高强度延续，不直接奖励进active；一般零售同批候选1只；板块D2均涨10.0%
601208,东材科技,塑料,0618D3,watch,radar,0618D3_watch_scan_20260618_005222.csv,73.20,65.50,72.10,73.42,12,71.0,2.0,塑料同批候选1只；板块D2均涨2.0%,0618D3｜watch｜radar｜D1较早封板；D1炸板1次；封板资金较足；D2量比略高1.69；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；中高价73谨慎；成交额过大偏拥挤；换手适中；塑料同批候选1只；板块D2均涨2.0%
