code,name,industry,stage,pool_type,pool_subtype,source_file,trigger_price,invalid_price,zone_low,zone_high,rank,score,note
001256,炜冈科技,专用设备,0609D3,watch,active,0609D3_watch_scan_20260609_010920.csv,24.64,22.56,24.27,24.71,1,92.0,0609D3｜watch｜active｜D1炸板2次；D2量比温和1.21；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
600303,曙光股份,商用车,0609D3,watch,active,0609D3_watch_scan_20260609_010920.csv,3.42,3.15,3.37,3.43,2,90.0,0609D3｜watch｜active｜D1未炸板；D2量比温和1.13；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中
002983,芯瑞达,光学光电,0609D3,watch,active,0609D3_watch_scan_20260609_010920.csv,23.99,22.58,23.63,24.06,3,87.0,0609D3｜watch｜active｜D1未炸板；D2量比温和0.98；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字；换手适中
603270,金帝股份,通用设备,0609D3,watch,active,0609D3_watch_scan_20260609_010920.csv,30.08,27.06,29.63,30.17,4,86.0,0609D3｜watch｜active｜D1未炸板；D2量比略高1.83；D2回落刚达标；D2收盘离支撑有安全垫；D2盘中上冲明显；D2收盘近十字；成交额可跟踪；换手适中
002194,武汉凡谷,通信设备,0609D3,watch,active,0609D3_watch_scan_20260609_010920.csv,12.42,11.20,12.23,12.46,5,84.0,0609D3｜watch｜active｜D1较早封板；D1未炸板；封板资金较足；D2量比2.54在2-3倍，需其他条件补强；D2有冲高回落；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中
600819,耀皮玻璃,玻璃玻纤,0609D3,watch,active,0609D3_watch_scan_20260609_010920.csv,6.72,6.40,6.62,6.74,6,84.0,0609D3｜watch｜active｜D1未炸板；D2量比温和0.92；D2有冲高回落；D2收盘离支撑有安全垫；D2收盘近十字
002251,步步高,一般零售,0609D3,watch,radar,0609D3_watch_scan_20260609_010920.csv,4.66,4.46,4.59,4.67,7,79.0,0609D3｜watch｜radar｜D1较早封板；D1炸板1次；封板资金较足；D2量比温和1.16；D2回落充分；D2收盘离支撑有安全垫；成交额超过15亿降权；换手适中
000759,中百集团,一般零售,0609D3,watch,radar,0609D3_watch_scan_20260609_010920.csv,6.27,5.18,6.18,6.29,8,77.0,0609D3｜watch｜radar｜D1较早封板；D1炸板1次；D2量比略高1.70；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active
000668,荣丰控股,房地产开,0609D3,watch,radar,0609D3_watch_scan_20260609_010920.csv,22.08,18.72,21.75,22.15,9,76.0,0609D3｜watch｜radar｜D1较早封板；D1未炸板；D2量比略高1.61；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；换手适中；D2高强度延续，不直接奖励进active
000517,荣安地产,房地产开,0609D3,watch,radar,0609D3_watch_scan_20260609_010920.csv,2.33,1.93,2.30,2.34,10,76.0,0609D3｜watch｜radar｜D1较早封板；D1炸板1次；D2量比温和1.08；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；D2高强度延续，不直接奖励进active
002631,德尔未来,家居用品,0609D3,watch,radar,0609D3_watch_scan_20260609_010920.csv,8.04,7.05,7.92,8.06,11,72.0,0609D3｜watch｜radar｜D1炸板1次；D2量比略高1.55；D2强势延续降权，先看可参与性；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额可跟踪；换手适中；D2高强度延续，不直接奖励进active
002471,中超控股,电网设备,0609D3,watch,radar,0609D3_watch_scan_20260609_010920.csv,8.10,7.63,7.98,8.12,12,70.0,0609D3｜watch｜radar｜D1较早封板；D1未炸板；封板资金较足；D2量比2.30在2-3倍，需其他条件补强；D2回落刚达标；D2收盘离支撑有安全垫；D2盘中上冲明显；成交额超过15亿降权；换手适中
